Genom: IMT26595	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	18911	20917	2006	1	IMT26595_S13_contig_26
bbp:	8	0					
coa:	9	1	82030	80303	1727	-1	IMT26595_S13_contig_14
clfA:	3	0					
clfB:	6	0					
cna:	11	0					
fnbA:	9	0					
fnbB:	6	0					
fib:	1	1	190883	191380	497	1	IMT26595_S13_contig_31
eno:	1	1	13031	11727	1304	-1	IMT26595_S13_contig_5
isdA:	1	1	163055	161991	1064	-1	IMT26595_S13_contig_31
isdB:	2	1	161788	159869	1919	-1	IMT26595_S13_contig_31
isdC:	1	1	163264	163950	686	1	IMT26595_S13_contig_31
sasA:	2	1	42917	36078	6839	-1	IMT26595_S13_contig_18
sasC:	1	1	233449	226901	6548	-1	IMT26595_S13_contig_11
sasD:	1	1	61400	62125	725	1	IMT26595_S13_contig_2
sasF:	1	1	25180	23285	1895	-1	IMT26595_S13_contig_18
sasH:	1	1	3525	1204	2321	-1	IMT26595_S13_contig_3
map_eap:	3	1	17860	15791	2069	-1	IMT26595_S13_contig_25
spa:	5	0					
sdrC:	7	0					
sdrD:	13	0					
sdrH:	4	0					
atl:	1	1	86104	82358	3746	-1	IMT26595_S13_contig_31
ebh:	12	0					
ebpS:	1	1	73561	72107	1454	-1	IMT26595_S13_contig_40
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	2	1	193515	196202	2687	1	IMT26595_S13_contig_11
sasB:	2	0					
sasK:	0	0					
plsSCC:	0	0					
sdrE:	6	0					
vwb:	3	0					
aa_a:	1	1	21203	20147	1056	-1	IMT26595_S13_contig_28
ccrC:	0	0					
blaZ:	1	1	1878	1033	845	-1	IMT26595_S13_contig_20
ccrB:	1	1	12515	14152	1637	1	IMT26595_S13_contig_26
ccrA:	1	1	11144	12493	1349	1	IMT26595_S13_contig_26
