Genom: IMT32934	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	11075	13081	2006	1	IMT32934_93_S58CLC_contig_21
bbp:	9	0					
coa:	8	1	170889	172703	1814	1	IMT32934_93_S58CLC_contig_1
clfA:	3	0					
clfB:	5	0					
cna:	10	0					
fnbA:	7	1	140620	137827	2793	-1	IMT32934_93_S58CLC_contig_3
fnbB:	3	1	135890	134292	1598	-1	IMT32934_93_S58CLC_contig_3
fib:	1	1	148527	148030	497	-1	IMT32934_93_S58CLC_contig_2
eno:	1	1	12586	11282	1304	-1	IMT32934_93_S58CLC_contig_4
isdA:	1	1	176355	177419	1064	1	IMT32934_93_S58CLC_contig_2
isdB:	3	1	177622	179550	1928	1	IMT32934_93_S58CLC_contig_2
isdC:	1	1	176146	175460	686	-1	IMT32934_93_S58CLC_contig_2
sasA:	1	1	34388	41227	6839	1	IMT32934_93_S58CLC_contig_13
sasC:	1	1	47284	53832	6548	1	IMT32934_93_S58CLC_contig_6
sasD:	1	1	59532	60257	725	1	IMT32934_93_S58CLC_contig_1
sasF:	1	1	52125	54020	1895	1	IMT32934_93_S58CLC_contig_13
sasH:	1	1	51860	54181	2321	1	IMT32934_93_S58CLC_contig_10
map_eap:	3	1	45677	47746	2069	1	IMT32934_93_S58CLC_contig_15
spa:	7	0					
sdrC:	7	0					
sdrD:	31	0					
sdrH:	5	1	32551	33795	1244	1	IMT32934_93_S58CLC_contig_15
atl:	1	1	253677	257423	3746	1	IMT32934_93_S58CLC_contig_2
ebh:	13	0					
ebpS:	1	1	377880	379334	1454	1	IMT32934_93_S58CLC_contig_6
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	2	1	87218	84531	2687	-1	IMT32934_93_S58CLC_contig_6
sasB:	2	0					
sasK:	0	0					
plsSCC:	7	0					
sdrE:	6	0					
vwb:	2	0					
aa_a:	1	1	403120	404176	1056	1	IMT32934_93_S58CLC_contig_1
ccrC:	2	2	2999	1320	1679	-1	IMT32934_93_S58CLC_contig_21
blaZ:	1	1	65370	64525	845	-1	IMT32934_93_S58CLC_contig_15
ccrB:	0	0					
ccrA:	0	0					
