Genom: IMT24784	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	28616	30622	2006	1	IMT24784_S8_contig_22
bbp:	8	0					
coa:	8	1	252687	250873	1814	-1	IMT24784_S8_contig_1
clfA:	4	0					
clfB:	4	0					
cna:	8	0					
fnbA:	5	0					
fnbB:	3	1	1814	3412	1598	1	IMT24784_S8_contig_2
fib:	1	1	8020	7523	497	-1	IMT24784_S8_contig_12
eno:	1	1	29425	28121	1304	-1	IMT24784_S8_contig_19
isdA:	1	1	35848	36912	1064	1	IMT24784_S8_contig_12
isdB:	2	1	37115	39034	1919	1	IMT24784_S8_contig_12
isdC:	1	1	35639	34953	686	-1	IMT24784_S8_contig_12
sasA:	4	1	23919	30758	6839	1	IMT24784_S8_contig_15
sasC:	1	1	46961	53509	6548	1	IMT24784_S8_contig_6
sasD:	1	1	364044	363319	725	-1	IMT24784_S8_contig_1
sasF:	1	1	41699	43594	1895	1	IMT24784_S8_contig_15
sasH:	1	1	46768	44447	2321	-1	IMT24784_S8_contig_22
map_eap:	3	1	45222	47291	2069	1	IMT24784_S8_contig_11
spa:	10	0					
sdrC:	6	0					
sdrD:	19	0					
sdrH:	5	1	32096	33340	1244	1	IMT24784_S8_contig_11
atl:	1	1	9989	13735	3746	1	IMT24784_S8_contig_18
ebh:	18	0					
ebpS:	1	1	378202	379656	1454	1	IMT24784_S8_contig_6
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	3	1	86895	84208	2687	-1	IMT24784_S8_contig_6
sasB:	3	0					
sasK:	0	0					
plsSCC:	2	0					
sdrE:	6	0					
vwb:	3	0					
aa_a:	1	1	21217	20161	1056	-1	IMT24784_S8_contig_1
ccrC:	2	2	20540	18861	1679	-1	IMT24784_S8_contig_22
blaZ:	1	1	64920	64075	845	-1	IMT24784_S8_contig_11
ccrB:	0	0					
ccrA:	0	0					
