Genom: IMT26596	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	11377	13383	2006	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_3
bbp:	12	1	5188	1715	3473	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_14
coa:	8	1	106662	108476	1814	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_9
clfA:	10	0					
clfB:	17	0					
cna:	2	0					
fnbA:	8	0					
fnbB:	5	0					
fib:	1	1	148693	148196	497	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_11
eno:	1	1	8494	7190	1304	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_20
isdA:	1	1	176521	177585	1064	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_11
isdB:	2	1	177788	179707	1919	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_11
isdC:	1	1	176312	175626	686	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_11
sasA:	2	0					
sasC:	1	1	47492	54040	6548	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_16
sasD:	1	1	59618	60343	725	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_23
sasF:	1	1	125264	127159	1895	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_3
sasH:	1	1	22022	19701	2321	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_3
map_eap:	3	1	17864	15795	2069	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_30
spa:	7	0					
sdrC:	10	0					
sdrD:	19	0					
sdrH:	5	1	30990	29746	1244	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_30
atl:	1	1	253833	257579	3746	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_11
ebh:	8	1	109363	79934	29429	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_6
ebpS:	1	1	159764	158310	1454	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_6
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	2	1	100801	98114	2687	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_16
sasB:	2	0					
sasK:	0	0					
plsSCC:	2	0					
sdrE:	6	1	5188	1715	3473	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_14
vwb:	3	0					
aa_a:	1	1	21218	20162	1056	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_18
ccrC:	0	0					
blaZ:	1	1	1880	1035	845	-1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_15
ccrB:	1	1	4990	6618	1628	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_3
ccrA:	1	1	3619	4968	1349	1	Run11_SO_1124_26596_s_3_1_sequence_(paired)_trimmed_(paired)_contig_3
