Genom: IMT27910	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	62432	60426	2006	-1	.10900_2_11.10
bbp:	12	1	16241	19714	3473	1	.10900_2_11.20
coa:	8	1	170725	172539	1814	1	.10900_2_11.2
clfA:	9	1	2378	5227	2849	1	.10900_2_11.1
clfB:	14	1	139446	136507	2939	-1	.10900_2_11.5
cna:	4	0					
fnbA:	9	0					
fnbB:	6	0					
fib:	1	1	339138	339635	497	1	.10900_2_11.1
eno:	1	1	8580	7276	1304	-1	.10900_2_11.6
isdA:	1	1	311310	310246	1064	-1	.10900_2_11.1
isdB:	2	1	310043	308124	1919	-1	.10900_2_11.1
isdC:	1	1	311519	312205	686	1	.10900_2_11.1
sasA:	1	1	180575	173736	6839	-1	.10900_2_11.5
sasC:	1	1	47358	53906	6548	1	.10900_2_11.13
sasD:	1	1	59368	60093	725	1	.10900_2_11.2
sasF:	1	1	162837	160942	1895	-1	.10900_2_11.5
sasH:	1	1	51708	54028	2320	1	.10900_2_11.10
map_eap:	3	1	17949	15880	2069	-1	.10900_2_11.14
spa:	7	0					
sdrC:	8	0					
sdrD:	26	1	11671	15843	4172	1	.10900_2_11.20
sdrH:	5	1	31075	29831	1244	-1	.10900_2_11.14
atl:	1	1	233998	230252	3746	-1	.10900_2_11.1
ebh:	10	1	109982	80322	29660	-1	.10900_2_11.4
ebpS:	1	1	160383	158929	1454	-1	.10900_2_11.4
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	2	1	193989	196676	2687	1	.10900_2_11.3
sasB:	2	0					
sasK:	0	0					
plsSCC:	5	0					
sdrE:	5	1	16241	19714	3473	1	.10900_2_11.20
vwb:	3	0					
aa_a:	1	1	402424	403480	1056	1	.10900_2_11.2
ccrC:	0	0					
blaZ:	1	1	69776	70621	845	1	.10900_2_11.12
ccrB:	1	1	68819	67191	1628	-1	.10900_2_11.10
ccrA:	1	1	70190	68841	1349	-1	.10900_2_11.10
